Lat,Long
35.9625,-105.645
37.1224,-105.1858
37.5775,-105.4856
37.8391,-107.9916
38.0717,-107.4621
38.8405,-105.0442
39.1178,-106.4454
39.8219,-111.7603
40.0147,-107.0833
40.3908,-111.6459
40.7763,-110.3729
43.1842,-109.6542
43.7412,-110.8024
43.9613,-109.3392
44.1374,-113.7811
44.3821,-107.1739
44.9166,-111.4593
45.1634,-109.8075
45.6116,-112.0083
45.9625,-113.3949
46.0181,-110.2768
46.4318,-111.1862
47.3826,-113.9191
48.2231,-115.689
48.9249,-113.8482
50.0604,-115.2057
50.8696,-115.6509
51.2021,-116.3975
52.1473,-117.4416
53.1105,-119.1566
53.936,-120.3869
54.908,-121.961
